keyword,frequency
symptom,33893
may,28303
people,21293
sign,19733
condition,16973
treatment,16943
disease,15475
syndrome,15367
cancer,14761
cell,14750
patient,13807
gene,13792
blood,13711
information,12769
cause,11977
also,11538
frequency,11332
type,11080
number,10281
body,8665
often,8445
90,8319
one,8316
study,8264
available,8053
disorder,7687
test,7569
mutation,7410
50,7285
many,7228
called,7147
genetic,7023
case,6923
affected,6828
heart,6799
fraction,6734
usually,6404
risk,6400
medical,6373
therapy,6350
rare,6325
abnormality,6266
include,6081
trial,6031
tumor,5848
health,5817
clinical,5815
individual,5645
autosomal,5508
protein,5474
problem,5392
child,5380
common,5348
muscle,5263
inherited,5210
help,5169
human,5069
feature,5019
surgery,5014
bone,4971
skin,4837
part,4726
tissue,4682
following,4656
kidney,4598
listed,4568
examined,4557
found,4513
phenotype,4492
ontology,4486
doctor,4469
change,4425
care,4379
occurs,4337
brain,4305
mean,4284
form,4208
first,4198
use,4189
medlineplus,4105
different,4005
infection,3944
drug,3837
sometimes,3835
specific,3832
result,3713
used,3671
system,3639
diagnosis,3629
person,3584
eye,3573
much,3566
another,3555
affect,3539
deficiency,3499
recessive,3497
caused,3477
factor,3432
provides,3370
group,3370
based,3346
pain,3326
loss,3263
example,3239
small,3196
lung,3134
look,3116
testing,3069
severe,3046
copy,3044
level,2984
normal,2965
come,2964
time,2926
lead,2904
radiation,2898
occur,2890
stage,2873
inheritance,2870
develop,2857
includes,2853
family,2849
seen,2829
high,2814
abnormal,2795
diabetes,2785
list,2769
make,2713
liver,2689
second,2684
short,2661
new,2640
spread,2618
25,2601
dominant,2580
management,2565
certain,2559
total,2532
age,2523
however,2507
term,2502
medicine,2429
two,2423
percentage,2421
development,2400
table,2397
pressure,2384
estimate,2365
function,2364
resource,2352
prevent,2350
chromosome,2317
european,2308
growth,2307
need,2307
collected,2292
chemotherapy,2286
definition,2274
database,2273
rough,2271
approximate,2246
orphanet,2246
25/25,2245
hpo,2244
dictionary,2243
area,2212
provider,2205
woman,2175
including,2175
nerve,2170
typically,2135
medication,2133
procedure,2105
childhood,2102
